city,date,SO_2,NO_2,CO,PM_10,PM_2_5,O3_8h_max,AQI_avg,,,,,,,,,,,
Shenyang,20190304,37.833333333333336,70.66666666666667,1.88375,263.125,190.20833333333331,107,237.91666666666663,,,,,,,,,,,
Shijiazhuang,20190304,34.125,77.66666666666667,2.0529166666666665,258.375,173.16666666666666,85,220.625,,,,,,,,,,,
Taiyuan,20190304,41.66666666666666,75.70833333333333,1.6908333333333332,200.45833333333331,137.875,115,179.66666666666666,,,,,,,,,,,
Tianjin,20190304,14.5,58.16666666666666,1.4666666666666668,147.58333333333334,136.08333333333334,93,177.83333333333334,,,,,,,,,,,
Urumqi,20190304,12.083333333333334,70.875,1.9254166666666668,114.70833333333331,112.95833333333331,108,148.45833333333334,,,,,,,,,,,
Wuhan,20190304,11.375,56.625,1.1679166666666667,85.08333333333333,52.79166666666666,89,74.41666666666667,,,,,,,,,,,
Xi'an,20190304,8.791666666666666,67.5,1.2383333333333333,121.625,65.375,67,89.70833333333333,,,,,,,,,,,
Xining,20190304,23.916666666666668,49.208333333333336,1.6854166666666668,83.79166666666667,37.458333333333336,93,66.5,,,,,,,,,,,
Yinchuan,20190304,23.625,53.875,1.7408333333333337,115.95833333333331,69.08333333333333,123,96.125,,,,,,,,,,,
Zhengzhou,20190304,12.291666666666666,57.04166666666666,1.0095833333333333,111.08333333333331,84.20833333333333,92,111.79166666666669,,,,,,,,,,,
Beijing,20190305,4.708333333333333,44.875,0.94375,92.40909091,91.33333333333331,87,130.79166666666666,,,,,,,,,,,
Changchun,20190305,14.166666666666666,48.91666666666666,1.2541666666666669,158.875,118.75,103,156.75,,,,,,,,,,,
Changsha,20190305,4.416666666666667,23.95833333333333,0.955,30.7,29.875,69,42.458333333333336,,,,,,,,,,,
Chengdu,20190305,5.708333333333333,51.5,0.8495833333333334,67.91666666666667,41.54166666666666,85,62.333333333333336,,,,,,,,,,,
Chongqing,20190305,11.5,51.79166666666666,1.0529166666666667,111.08333333333331,77.25,16,102.91666666666669,,,,,,,,,,,
Fuzhou,20190305,4.208333333333333,29.125,0.7533333333333333,31.33333333333333,23.666666666666668,99,36.125,,,,,,,,,,,
Guangzhou,20190305,4.791666666666667,54.333333333333336,0.8520833333333333,30.041666666666668,16.791666666666668,66,32.5,,,,,,,,,,,
Guiyang,20190305,13.583333333333334,17.458333333333332,0.6070833333333333,52.458333333333336,37.583333333333336,81,53.04166666666666,,,,,,,,,,,
Haikou,20190305,5.208333333333333,9.166666666666666,0.3895833333333333,23.33333333333333,11.041666666666666,48,23.541666666666668,,,,,,,,,,,
